Date,Time,Latitude,Longitude
2014-01-16,23:04,35.4412316,139.639157
2014-01-17,01:42,35.659594,139.7005792
2014-01-17,16:37,35.6964356,139.4255585
2014-01-17,17:00,35.700444,139.4810455
2014-01-17,17:54,35.6930828,139.6922388
2014-01-17,19:43,35.3126707,138.9666912
2014-01-17,20:17,35.1917158,138.6289394
2014-01-17,20:18,35.1806224,138.6102462
2014-01-17,20:24,35.1527705,138.533829
2014-01-17,20:34,35.0547692,138.4238681
2014-01-17,20:36,35.0429617,138.3977395
2014-01-17,20:37,35.0425755,138.3854577
2014-01-17,21:10,34.8341707,137.9698311
2014-01-17,21:11,34.8306041,137.9584918
2014-01-17,21:19,34.8313712,137.835818
2014-01-17,21:20,34.8330645,137.8238404
2014-01-17,22:03,34.8633693,137.6320058
2014-01-17,22:04,34.8569906,137.6227737
2014-01-17,22:06,34.8388401,137.6015826
2014-01-17,22:30,34.8895648,137.2647868
2014-01-17,22:31,34.8971364,137.257067
2014-01-17,23:02,35.081549,136.9278062
2014-01-17,23:05,35.1093405,136.9227605
2014-01-17,23:38,35.1684586,136.8849214
2014-01-18,00:36,35.1741831,137.0066084
2014-01-18,17:46,35.1558151,137.0319632
2014-01-18,18:00,35.175196,137.011952
2014-01-18,19:33,35.169251,136.9084518
2014-01-18,22:26,35.1624786,136.9068791
2014-01-18,23:32,35.1701774,136.8800995
2014-01-19,04:01,35.4308327,139.397096
2014-01-20,15:00,35.6964169,139.4255722
2014-01-20,20:27,35.7376727,139.7341413
2014-01-21,01:26,35.6840424,139.7312375
2014-01-21,06:03,35.669378,139.703507
2014-01-21,16:04,35.695714,139.4261526
2014-01-21,18:07,35.6843894,139.731806
2014-01-22,04:00,35.4623073,139.6236077
2014-01-22,17:44,35.6958944,139.4262258
2014-01-23,03:22,35.6838957,139.7304614
2014-01-23,04:37,35.6966228,139.4142896
2014-01-23,15:10,35.6957957,139.4262388
2014-01-23,20:36,35.6862784,139.7310385
2014-01-24,01:11,35.7117841,139.7741463
2014-01-24,06:09,35.6994483,139.7748898
2014-01-24,07:32,35.6966689,139.4142275
2014-01-24,21:26,35.6965144,139.4255801
2014-01-25,00:41,35.6987554,139.7734758
2014-01-25,01:16,35.6841985,139.7013222
2014-01-25,12:57,35.6594591,139.7005938
2014-01-25,19:52,35.6614074,139.7295568
2014-01-25,19:53,35.6446852,139.7007407
2014-01-25,19:56,35.6630399,139.7316949
2014-01-25,20:57,35.7101373,139.6652554
2014-01-25,23:21,35.6827206,139.7333711
2014-01-26,01:37,35.6955529,139.7015183
2014-01-26,15:20,35.6960572,139.4262532
2014-01-26,16:25,35.6694567,139.5101992
2014-01-26,17:12,35.6894439,139.6986239
2014-01-26,17:26,35.6745858,139.5902812
2014-01-26,17:34,35.6605361,139.5337154
2014-01-27,00:25,35.4907141,138.7801365
2014-01-27,00:26,35.4959552,138.7916231
2014-01-27,00:32,35.5014984,138.8089325
2014-01-27,00:34,35.5193486,138.8489985
2014-01-27,00:45,35.6003893,138.9168041
2014-01-27,00:49,35.6157372,138.9613632
2014-01-27,00:52,35.6206206,138.9898353
2014-01-27,01:17,35.6579934,139.2796493
2014-01-27,01:51,35.6744149,139.6669938
2014-01-27,02:03,35.6911224,139.6972045
2014-01-27,02:08,35.6827108,139.7335543
2014-01-27,02:18,35.6763941,139.6585365
2014-01-27,06:56,35.6835472,139.7022235
2014-01-27,07:00,35.6929347,139.70042
2014-01-27,07:03,35.6835487,139.7022242
2014-01-27,07:10,35.7040085,139.5986394
2014-01-27,07:13,35.7033604,139.5787848
2014-01-27,07:21,35.7014094,139.5159883
2014-01-27,07:25,35.6999009,139.4698354
2014-01-27,20:16,35.6965654,139.425625
2014-01-27,21:40,35.7003247,139.4809267
2014-01-27,22:47,35.6824613,139.7656393
2014-01-27,22:56,35.3562012,139.5423473
2014-01-27,23:21,35.6676414,140.0495828
2014-01-27,23:22,35.6569478,140.0611944
2014-01-27,23:23,35.6411051,140.0894871
2014-01-28,04:04,35.7764396,140.3917979
2014-01-28,15:47,-16.8769039,145.7534172
2014-01-28,19:42,-28.1662696,153.5135711
2014-01-28,21:25,-27.5896748,153.0855943
